[[[-0.19857073  0.27724963 -0.33324653]
  [-0.18751769 -0.1393866  -0.33973825]
  [-0.12382771 -0.2493017   0.04570699]
  [ 0.12029608 -0.22845845  0.04395339]
  [ 0.1488162  -0.08616275 -0.33541706]
  [ 0.12710246  0.34509638 -0.3548047 ]
  [-0.45225173 -0.5663598  -0.0122131 ]
  [-0.3399215  -0.52020204  0.19960177]
  [-0.11200739 -0.6492316   0.11608232]
  [ 0.17349336 -0.6198341   0.06061747]
  [ 0.31494683 -0.3861252   0.01575964]
  [ 0.27097356 -0.3144973  -0.21397588]
  [ 0.03209371 -0.6910235   0.07621003]
  [ 0.03835318 -0.88792694  0.09542354]
  [ 0.0210796  -0.83209825 -0.04558764]
  [ 0.05908228 -0.8600332  -0.00825898]
  [-0.00580034 -0.8596905   0.00122344]
  [ 0.10790332 -0.82003695  0.06838204]
  [-0.03519515 -0.820206    0.08998647]]]
