[[[-8.30558536e-04  5.35696387e-01  2.51166046e-01]
  [-5.24795614e-02  1.81661546e-01  2.66228132e-02]
  [-1.11950293e-01 -2.29680702e-01 -3.29770185e-02]
  [ 1.05777554e-01 -2.41648316e-01  3.57219800e-02]
  [ 1.34409875e-01  1.62270188e-01  4.10199091e-02]
  [ 1.91717342e-01  5.23465395e-01  2.60582387e-01]
  [ 1.07597455e-01 -1.12721694e+00 -2.93280184e-01]
  [ 1.92435384e-02 -9.24123824e-01 -1.88313246e-01]
  [ 6.39779344e-02 -6.90708995e-01 -9.97248441e-02]
  [ 2.24308446e-01 -5.33618927e-01 -1.59638003e-02]
  [ 2.16662273e-01 -2.96786726e-01  1.04402401e-01]
  [ 2.52970934e-01 -7.51067400e-02  3.41458656e-02]
  [ 1.66147560e-01 -6.50722265e-01 -7.38600343e-02]
  [ 2.70022959e-01 -7.80849159e-01 -5.99371782e-03]
  [ 1.86890155e-01 -8.21929753e-01 -1.26473904e-01]
  [ 2.42624924e-01 -8.19025099e-01 -1.04415148e-01]
  [ 1.90631747e-01 -8.21071029e-01 -6.62648752e-02]
  [ 2.92740822e-01 -7.32749224e-01 -9.09794271e-02]
  [ 1.84774205e-01 -7.43061781e-01 -8.55118036e-03]]]
