[[[-4.6301776e-01  3.2656506e-01  2.0526227e-01]
  [-1.2697388e-01  1.4899597e-01 -8.3711930e-03]
  [-5.8250673e-02 -2.7158755e-01 -9.3756318e-02]
  [ 4.6438314e-02 -3.0714133e-01  1.2537614e-01]
  [ 2.8980196e-01 -7.2954793e-04  3.2092240e-02]
  [ 3.3111918e-01  4.0890080e-01  1.7770910e-01]
  [ 2.8076330e-01 -6.1795354e-01 -4.6224721e-02]
  [ 1.8166989e-01 -5.3125733e-01 -2.6713994e-01]
  [ 2.8704695e-02 -7.4020594e-01 -1.8999122e-01]
  [ 9.2113670e-03 -7.8084600e-01  1.0508690e-01]
  [ 1.5817597e-03 -5.9342849e-01  3.0762076e-01]
  [ 1.5594915e-01 -6.2038273e-01  1.1233859e-01]
  [ 3.6042821e-02 -8.1494087e-01 -5.2126583e-02]
  [ 1.2868220e-01 -1.0136739e+00 -1.0254141e-01]
  [ 2.1087565e-01 -8.8152415e-01 -8.7238744e-02]
  [ 1.9675384e-01 -9.3838918e-01 -6.2141702e-02]
  [ 1.8249543e-01 -9.2424726e-01 -1.2620862e-01]
  [ 1.1152851e-01 -9.6587324e-01 -7.0473775e-03]
  [ 8.0119073e-02 -9.3462270e-01 -1.5429768e-01]]]
