[[[-0.19203982  0.34447503 -0.18818507]
  [-0.3000388  -0.07334029 -0.2924707 ]
  [-0.12695327 -0.2529627   0.04759775]
  [ 0.11989447 -0.25797972  0.05043012]
  [ 0.28982997 -0.06478805 -0.28927264]
  [ 0.22864217  0.38225585 -0.19585122]
  [-0.25637528 -0.14888164  0.02913189]
  [-0.26695257 -0.37059537  0.19361658]
  [-0.14852156 -0.641242    0.20192789]
  [ 0.15917856 -0.63402283  0.20636103]
  [ 0.26344192 -0.35875207  0.22453478]
  [ 0.29074973 -0.11543541  0.10041085]
  [ 0.00697315 -0.7123678   0.19965751]
  [-0.00599953 -0.93054235  0.22389185]
  [-0.06035385 -0.85870457  0.09918632]
  [-0.01823721 -0.89810145  0.1210535 ]
  [-0.07337776 -0.8845616   0.15570131]
  [ 0.06768887 -0.87380344  0.17291442]
  [-0.05704456 -0.84641093  0.24999927]]]
