[[[-0.16072635  0.35821098 -0.20533021]
  [-0.2538608  -0.05417989 -0.3071243 ]
  [-0.12705334 -0.24930608  0.02485757]
  [ 0.11344598 -0.26290676  0.06554832]
  [ 0.33286703 -0.08624282 -0.231588  ]
  [ 0.23873033  0.34653446 -0.18378761]
  [-0.21501873 -0.83639544  0.11131572]
  [-0.44639298 -0.7276605   0.12728208]
  [-0.1748702  -0.6755933   0.18651308]
  [ 0.10845045 -0.6792487   0.20791064]
  [ 0.37623608 -0.7347293   0.15123293]
  [ 0.13674486 -0.80933666  0.1583918 ]
  [-0.03605448 -0.718563    0.19157146]
  [-0.05476181 -0.9325413   0.15697764]
  [-0.09938449 -0.8230647   0.06134782]
  [-0.06070871 -0.86884546  0.0702235 ]
  [-0.11622404 -0.8646643   0.10505252]
  [ 0.02264095 -0.867324    0.13117582]
  [-0.10252315 -0.86066663  0.20724063]]]
