[[[-1.32558733e-01  5.41288674e-01  4.95155575e-04]
  [-3.18291560e-02  1.28356367e-01 -1.65500015e-01]
  [-1.17185444e-01 -2.73958892e-01 -5.33918329e-02]
  [ 9.74584147e-02 -2.86642879e-01  1.08769506e-01]
  [ 2.58247226e-01  8.11398849e-02 -1.01009812e-02]
  [ 7.81144351e-02  3.43559682e-01  3.11295360e-01]
  [ 2.26052836e-01  1.61404669e-01 -3.54266465e-01]
  [ 8.54806602e-02 -7.97074437e-02 -3.57228160e-01]
  [ 1.46031111e-01 -3.65696579e-01 -3.65181744e-01]
  [ 3.55944455e-01 -3.72600257e-01 -1.72131270e-01]
  [ 3.74473721e-01 -9.20331627e-02 -9.56680477e-02]
  [ 3.68208677e-01  1.49801508e-01 -2.28557512e-01]
  [ 2.90191233e-01 -4.08499151e-01 -3.04030240e-01]
  [ 4.37699318e-01 -5.25283158e-01 -4.08430994e-01]
  [ 4.75653201e-01 -3.77247602e-01 -3.69012684e-01]
  [ 4.81135547e-01 -4.37456489e-01 -3.53282392e-01]
  [ 4.62957412e-01 -4.16254222e-01 -4.15797830e-01]
  [ 4.10321772e-01 -5.02038538e-01 -3.10250491e-01]
  [ 3.65250170e-01 -4.54841524e-01 -4.50738221e-01]]]
