[[[-0.36391178 -0.7951265   0.6119911 ]
  [-0.20669587 -0.42466643  0.35169902]
  [-0.11803211 -0.15678665  0.00365288]
  [ 0.12022865 -0.20214918  0.01786955]
  [-0.08577916 -0.45872685  0.34289733]
  [-0.28372753 -0.7843145   0.6353573 ]
  [ 0.10197907  0.42944515 -0.7313438 ]
  [-0.00196782  0.21828735 -0.59180903]
  [ 0.09033091  0.06785768 -0.3766726 ]
  [ 0.24773936  0.07602585 -0.23866627]
  [ 0.3056851   0.32798067 -0.12166186]
  [ 0.23322524  0.56294847 -0.22437693]
  [ 0.19091599  0.08660207 -0.32375017]
  [ 0.29246262  0.13256904 -0.45432892]
  [ 0.2877064   0.24215811 -0.34325388]
  [ 0.32372186  0.2004916  -0.3710067 ]
  [ 0.27280784  0.23082235 -0.40179974]
  [ 0.3072314   0.10384984 -0.36518836]
  [ 0.2070609   0.16060066 -0.42797047]]]
