[[[-3.8547352e-01 -9.1359860e-01  4.4532737e-01]
  [-2.3514920e-01 -4.8461562e-01  2.9286107e-01]
  [-1.1866258e-01 -1.5958811e-01  9.3105370e-03]
  [ 1.2070900e-01 -2.0021583e-01  1.2756391e-02]
  [ 3.0733936e-03 -4.8945576e-01  3.4906799e-01]
  [-7.5953953e-02 -9.0332615e-01  5.7757115e-01]
  [-7.2640635e-02  3.7253454e-01 -6.6169882e-01]
  [-1.5381064e-01  1.4780250e-01 -5.3987819e-01]
  [ 5.3211804e-02  1.2776098e-02 -4.0886861e-01]
  [ 2.4694453e-01  3.0063858e-02 -2.7795622e-01]
  [ 3.2355723e-01  2.2962463e-01 -8.4609225e-02]
  [ 2.6023808e-01  4.6382627e-01 -1.7460880e-01]
  [ 1.7609558e-01  2.8588843e-02 -3.7736547e-01]
  [ 2.4761008e-01 -3.3453701e-04 -5.3313416e-01]
  [ 2.7608222e-01  1.4476442e-01 -4.8280019e-01]
  [ 3.0254215e-01  9.0861298e-02 -4.9754256e-01]
  [ 2.4621242e-01  1.1247905e-01 -5.2592176e-01]
  [ 2.8604299e-01  9.4190147e-03 -4.4490057e-01]
  [ 1.7462611e-01  4.8271611e-02 -5.0314862e-01]]]
